idiom,meaning,label,source,translation_ko,translation_zh,translation_he,translation_yo
to see the back of,to be glad that you no longer have to deal with someone,figurative,She was relieved [[to see the back of the problem]] after finding a solution,해결책을 찾은 그녀는 [[더이상 문제를 안보게 되어서]] 안도했습니다,找到了解决方案以后，她松了一口气，终于[[不用再面对这个问题了]],הוקל לה שכבר [[לא הייתה לה הבעיה הזו]] אחרי שנמצא לה פתרון,Ara ẹ balẹ pe [[ko ni lati kọju enitọhun naa mọ]] lẹyin ti o ti ri ọna abayọ.
to see the back of,to be glad that you no longer have to deal with someone,literal,He had [[to see the back of the problem]] by flipping the paper over,그는 종이를 뒤집어서 [[문제의 뒷면을 봐야만 했습니다]],他把纸翻过来，[[看问题的背面]],הוא היה צריך [[לראות את הצד השני של הבעיה]] על ידי כך שהפך את הדף,"O ni lati [[ri ẹyin iṣoro naa]], nipa yiyi iwe naa pada."
on the line,to be at serious risk.,figurative,[[She put it on the line]] when she confronted her boss about the unfair treatment,그녀가 부당한 대우에 대해 상사에게 말했을 때 [[그녀의 일자리는 위태로워졌습니다]] ,当她直面她的老板抱怨待遇不公的时候，[[她冒了很大的风险]],[[היא סיכנה את זה]] כשהיא התעמתה עם הבוס שלה לגבי היחס הלא הוגן,[[O fi ara rẹ sinu ewu]] nigbati ti o kọju si ọga rẹ nipa iwọsi rẹ.
on the line,to be at serious risk.,literal,[[She put it on the line]] to dry after washing her clothes,그녀는 옷을 빨은후에 [[줄에 널어 말렸습니다]] ,洗了衣服以后，[[她把它们挂在绳子上]]晾干,[[היא שמה את זה על החבל]] לייבוש אחרי ששטפה את הבגדים שלה,[[O sa sori okun naa]] ki o ba le gbẹ lẹyin ti o fọ aṣọ tan.
pull the wool over eyes,to deceive someone,figurative,[[They pulled the wool over her eyes]] by pretending to be a wealthy businessman,[[그들은]] 부유한 사업가인척 [[그녀의 눈을 속였습니다]] ,[[他们]]假装是富有的商人，[[骗她]],[[הם רימו אותה]] בכך שהעמידו פנים שהם אנשי עסקים עשירים,Wọn tan jẹ nigbati o dibọ bi  oniṣowo ti o lowo pupọ.
pull the wool over eyes,to deceive someone,literal,"During the surprise party preparations, [[they pulled the wool over her eyes]] with a blindfold","깜짝 파티 준비 중, 그들은  눈가리개로 양털을 그녀의 눈에 가렸습니다 ",在准备惊喜派对的时候，[[他们把羊绒挡住她的眼睛]]，做了一个眼罩,"במהלך ההכנות לסיבת ההפתעה, [[הם הניחו את הצמר על העיניים שלה]] עם כיסוי עיניים",Wọn fi owu aburan bo oju rẹ nigbati wọn ṣe pati naa.
paddle own canoe,To be able to act without having to depend on anyone.,figurative,They decided [[to paddle their own canoe]] and start their own business,그들은 [[그들 스스로 결정하고]] 자신의 사업을 시작했습니다,他们决定自力更生，开创他们自己的生意,הם החליטו [[להיות עצמאיים]] ולפתוח עסק משלהם,Wọn pinu lati bẹrẹ owo wọn [[layi gbẹkẹle ẹnikọọkan.]]
paddle own canoe,To be able to act without having to depend on anyone.,literal,They had [[to paddle their own canoe]] to reach the other side of the lake,그들은 [[자신의 카누를 저어]] 호수 반대편에 도달해야 했습니다.,为了到达湖的对岸，他们奋力划自己的独木舟,הם היו צריכים [[להשיט את הקנו של עצמם]] כדי להגיע לצד השני של האגם,"Wọn ni lati [[wa ọkọ wẹtẹ wọn jẹ]], lati de ibi apa keji adagun naa. "
kick the bucket,to die,figurative,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep",인생에서 뗄래야 뗄 수 없는 노부부는 자면서  [[함께 생을 마감했습니다]],这对生活中形影不离的老夫妻，在睡眠中[[共同离世了]],"זוג הזקנים שהיו בלתי נפרדים בחיים, [[מתו יחד]] בשנתם","Arugbo ọkọ ati aya naa, aileya si ọtọ laye, [[filẹ ṣaṣọ bora]], ninu oorun."
kick the bucket,to die,literal,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere",그들은 헛간을 청소하다가 실수로 [[양동이를 함께 발로 차서]] 사방에 물을 쏟았습니다.,清理粮仓的时候，他们不小心[[踢翻了水桶]]，水流了一地,"בזמן שניקו את האסם, הם [[בעטו בדלי יחד]] בטעות ושפכו את המים בכל מקום ","Bi wọn ti ṣe n gbalẹ, nṣe ni wọn [[jọ gba ike naa]], ti wọn da omi silẹ lairotele."
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",figurative,"Despite the success of the project, there was [[a cloud on the horizon]] in the form of budget cuts",프로젝트의 성공에도 불구하고 예산 삭감이라는 [[골치 아픈 문제]]가 형태를 드러났습니다 ,尽管项目很成功，但是经费削减像一朵乌云笼罩在地平线,"למרות הצלחת הפרויקט, [[הייתה צפויה בעיה בהמשך]] בגלל קיצוצי תקציב","Bi o ti lẹ jẹ pe wọn ṣe aṣeyọri ninu idawọle naa, [[wahala ọjọ iwaju]] ni isunraki aṣaro inọwo."
cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future",literal,"As we looked out to sea, we noticed [[a cloud on the horizon]] signaling an approaching storm",우리가 바다를 바라보았을 때 [[지평선 상에서]] 폭풍을 예고하는 [[구름을]] 눈치챘습니다,我们朝海的方向望去，看到地平线的一朵乌云，一场风暴即将来临,"כשהסתכלנו החוצה לים, שמנו לב ש[[יש ענן באופק]] שסימן שסערה מתקרבת","Bi a ti ṣe gboju wo okun, a ri [[awọ sanma lori ipade ilẹ on ọrun]]. "
wouldn't be seen dead,to be too ashamed or embarrassed of something,figurative,"She [[wouldn't be seen dead in that]] outfit, as it was completely out of style","의상이 완전히 유행이 지났기 때문에, 그녀는 [[매우 창피했습니다]]",穿了这套过时的衣服，她尴尬极了,"היא [[התביישה מדי]] ללבוש את הבגד הזה, משום שהוא היה לגמרי לא באופנה","[O ma tiju]], ti o ba wọ aṣọ yẹn, nitori pe ko lọ  pẹlu aṣa ode oni."
wouldn't be seen dead,to be too ashamed or embarrassed of something,literal,"As a vampire, he [[wouldn't be seen dead in that]] garlic-infused restaurant",뱀파이어로서 그는 마늘향이 우려진 식당에서 [[죽은 것으로 보이지 않을 것입니다]],作为一个吸血鬼，他在那个满是蒜味的饭馆羞愧极了,"בתור ערפד, הוא [[לא היה נראה מת ב]]מסעדה הזו עם השום","Bi o ti ṣe jẹ oku amẹjẹ eniyan, [[ẹ o le ri oku ẹ ninu]] buka ti o n run fun aayu."
turn down a glass,to decline something that someone has offered.,figurative,"At the party, he politely [[turned down a glass]] when offered a drink","파티에서,그는 술을 제안받았을때 정중하게 [[거절했습니다]] ",派对中，他礼貌的拒绝了别人递给的一杯酒,הוא [[סירב]] בנימוס כשהציעו לו משקה במסיבה,"Ni ayẹyẹ naa, o [[kọ  ko gba ]] ohun mimu  naa tọwọtọwọ."
turn down a glass,to decline something that someone has offered.,literal,She [[turned down a glass]] upside down to let it dry,그녀는 잔의 물을 말리기 위해  [[잔을 거꾸로 뒤집었다]],她把杯子倒扣起来，晾干,היא [[הפכה כוס]] כדי לתת לה להתייבש,"O [[yi ife onigilaasi kan]] silẹ, ki o le gbẹ."
paint the town red,to celebrate and have a wild time,figurative,"After winning the championship, they decided [[to paint the town red together]] and celebrate",우승 후 그들은 [[신나게 놀고]] 축하하기로 결정했습니다 ,拿到冠军以后，他们决定大事狂欢，好好庆贺一下,הם החליטו [[לקרוע את העיר יחד]] ולחגוג אחרי שניצחו באליפות,"Lẹyin ti wọn ṣẹgun ere idije naa, wọn pinu lati [[ṣajọyọ]] ."
paint the town red,to celebrate and have a wild time,literal,"As part of a community art project, they decided [[to paint the town red together]] by covering the walls with vibrant murals","커뮤니티 아트 프로젝트의 일환으로, 그들은 활기찬 벽화로 벽을 덮어 [[마을을 함께 붉게 칠하기로]] 결정했습니다.",作为社区艺术活动的一部分，他们决定在墙上画满了鲜艳的壁画，把城市漆成红色,"כחלק מפרויקט אמנות קהילתי, הם החליטו [[לצבוע את העיר באדום יחד]] על ידי צביעה של הקירות בציורי קיר עזים","Gẹgẹ bi igbero iṣẹ ọna ti ara ilu, wọn jọ pinu lati [[kun gbogbo ilu ni  aworan pupa]] ti o larinrin. "
chapter and verse,verbatim; word for word details.,figurative,"When asked about the new policy, she [[gave them chapter and verse]] on the company's regulations",새로운 정책에 대해 물어보자 그녀는 그들에게 회사의 규정에 대해 [[상세하게 설명해주었습니다]],当问起新政策的时候，她把公司的新规定逐字逐句的说出来,"כשהיא נשאלה על המדיניות החדשה, היא [[מסרה להם בפרטי פרטים]] את התקנות של החברה  ","Igba ti wọn bere lọwọ wọn nipa akoso tuntun, o fun wọn ni ilana ile-iṣẹ na [[gbako]] ."
chapter and verse,verbatim; word for word details.,literal,The priest [[gave them chapter and verse]] from the Bible during the sermon,성직자는 설교 도중 그들에게 성경의 [[구절을 전달하였습니다]],讲道中，牧师告诉他们圣经章节,"הכומר [[נתן להם פרק ופסוק]] מהתנ""ך במהלך הדרשה",Alufa naa ka ori iwe at ẹsẹ lati ini bibeli bi isin ṣe n lọ.  
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,figurative,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",그는 항상 [[자신에게 유리한것을 파악한]] 모습으로 사장님의 결정을 지지합니다 ,他总是支持老板的决定，显示了他知道如何投其所好,"הוא תמיד תומך בהחלטות של הבוס שלו, וזה מראה שהוא [[יודע מה האינטרסים שלו]]","O ma n ti ọga rẹ lẹyin, o jẹ pe o [[mọ ibi ti o inifẹsi rẹ n bẹ]] . "
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,literal,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,그는 샌드위치를 주의 깊게 관찰하고 손에 기름기가 생기는 것을 피하기 위해 [[빵의 어느 면에 버터를 발라야 하는지 알고 있습니다]],他仔细看了三明治，确保他知道哪面是涂了奶油，以防手上沾油,"הוא בחן את הכריך בקפידה והוא [[יודע באיזה צד החמאה מרוחה על הלחם]], כדי להמנע מלשמן את הידיים שלו ","O ṣe pẹlẹpẹlẹ fi ṣayẹwo sandwiisi naa, o si [[mọ apa burẹdi rẹ ti o ni bọta]] lati fi jẹ ki owo rẹ ma ṣe kun fepo.  "
